r1,r2,r3,r4,q1,q2,q3,q4,q5,q6
9999.0,9999.0,0.26,9999.0,-0.520682,-0.404287,0.851874,-1.69096,-0.677772,1.44949
9999.0,9999.0,0.26,9999.0,-0.520682,-0.404287,0.851874,-1.69096,-0.677772,1.44949
9999.0,9999.0,0.26,9999.0,-0.520539,-0.403933,0.851959,-1.68146,-0.687773,1.4375
9999.0,9999.0,0.24,9999.0,-0.520398,-0.403581,0.852043,-1.67189,-0.697789,1.42538
9999.0,9999.0,0.24,9999.0,-0.520398,-0.403581,0.852043,-1.67189,-0.697789,1.42538
9999.0,9999.0,0.24,9999.0,-0.520257,-0.403231,0.852124,-1.66226,-0.707818,1.41313
9999.0,9999.0,0.24,9999.0,-0.520116,-0.402883,0.852205,-1.65257,-0.717857,1.40076
9999.0,9999.0,0.24,9999.0,-0.520116,-0.402883,0.852205,-1.65257,-0.717857,1.40076
9999.0,9999.0,0.24,9999.0,-0.519976,-0.402537,0.852283,-1.64281,-0.727902,1.38827
9999.0,9999.0,0.22,9999.0,-0.519837,-0.402193,0.85236,-1.633,-0.73795,1.37566
9999.0,9999.0,0.22,9999.0,-0.519837,-0.402193,0.85236,-1.633,-0.73795,1.37566
9999.0,9999.0,0.22,9999.0,-0.519699,-0.401851,0.852435,-1.62313,-0.747999,1.36294
9999.0,9999.0,0.22,9999.0,-0.519561,-0.401512,0.852509,-1.61319,-0.758047,1.35009
9999.0,9999.0,0.22,9999.0,-0.519561,-0.401512,0.852509,-1.61319,-0.758047,1.35009
9999.0,9999.0,0.22,9999.0,-0.519425,-0.401176,0.85258,-1.60326,-0.768031,1.33721
9999.0,9999.0,0.2,9999.0,-0.519289,-0.400843,0.852651,-1.59328,-0.778005,1.32423
9999.0,9999.0,0.2,9999.0,-0.519289,-0.400843,0.852651,-1.59328,-0.778005,1.32423
9999.0,9999.0,0.2,9999.0,-0.519155,-0.400512,0.852719,-1.58327,-0.78794,1.31117
9999.0,9999.0,0.2,9999.0,-0.519022,-0.400185,0.852786,-1.57324,-0.79782,1.29807
9999.0,9999.0,0.2,9999.0,-0.519022,-0.400185,0.852786,-1.57324,-0.79782,1.29807
9999.0,9999.0,0.2,9999.0,-0.518889,-0.399861,0.852851,-1.56319,-0.807665,1.28489
9999.0,9999.0,0.19,9999.0,-0.518889,-0.399861,0.852851,-1.56319,-0.807665,1.28489
9999.0,9999.0,0.19,9999.0,-0.518758,-0.399539,0.852915,-1.5531,-0.817486,1.27163
9999.0,9999.0,0.19,9999.0,-0.518627,-0.399219,0.852978,-1.54295,-0.827289,1.25827
9999.0,9999.0,0.19,9999.0,-0.518497,-0.398902,0.853039,-1.53275,-0.837076,1.2448
9999.0,9999.0,0.19,9999.0,-0.518497,-0.398902,0.853039,-1.53275,-0.837076,1.2448
9999.0,9999.0,0.19,9999.0,-0.518368,-0.398586,0.853098,-1.52249,-0.846848,1.23124
9999.0,9999.0,0.19,9999.0,-0.518239,-0.398272,0.853157,-1.51217,-0.856603,1.21758
9999.0,9999.0,0.77,9999.0,-0.518239,-0.398272,0.853157,-1.51217,-0.856603,1.21758
9999.0,9999.0,0.77,9999.0,-0.518111,-0.39796,0.853214,-1.5018,-0.866339,1.20381
9999.0,9999.0,0.77,9999.0,-0.517983,-0.39765,0.85327,-1.49137,-0.876055,1.18995
9999.0,9999.0,0.77,9999.0,-0.517983,-0.39765,0.85327,-1.49137,-0.876055,1.18995
9999.0,9999.0,0.77,9999.0,-0.517856,-0.397341,0.853324,-1.48084,-0.885801,1.17592
9999.0,9999.0,0.77,9999.0,-0.517729,-0.397032,0.853378,-1.47018,-0.895579,1.16171
9999.0,9999.0,0.63,9999.0,-0.517729,-0.397032,0.853378,-1.47018,-0.895579,1.16171
9999.0,9999.0,0.63,9999.0,-0.517603,-0.396725,0.853431,-1.4595,-0.905303,1.14745
9999.0,9999.0,0.63,9999.0,-0.517478,-0.396422,0.853482,-1.44882,-0.914949,1.13316
9999.0,9999.0,0.63,9999.0,-0.517478,-0.396422,0.853482,-1.44882,-0.914949,1.13316
9999.0,9999.0,0.63,9999.0,-0.517354,-0.396122,0.853532,-1.43813,-0.924534,1.11883
9999.0,9999.0,0.63,9999.0,-0.517231,-0.395824,0.85358,-1.4274,-0.934063,1.10446
9999.0,9999.0,0.63,9999.0,-0.517231,-0.395824,0.85358,-1.4274,-0.934063,1.10446
9999.0,9999.0,0.63,9999.0,-0.517108,-0.395529,0.853627,-1.41665,-0.943543,1.09002
9999.0,9999.0,0.63,9999.0,-0.516987,-0.395236,0.853673,-1.40586,-0.952975,1.07552
9999.0,9999.0,0.63,9999.0,-0.516987,-0.395236,0.853673,-1.40586,-0.952975,1.07552
9999.0,9999.0,0.63,9999.0,-0.516866,-0.394945,0.853718,-1.39504,-0.96236,1.06096
9999.0,9999.0,0.63,9999.0,-0.516866,-0.394945,0.853718,-1.39504,-0.96236,1.06096
9999.0,9999.0,0.63,9999.0,-0.516747,-0.394656,0.853762,-1.38418,-0.971696,1.04634
